"filename","source_folder","label","generator","variant"
"1PaoWKvcJP0_Sound on for Sora 2.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"1ugUllz4wCs_PIKA AI Video Generator Unveils PikaSwap VFX Animation.mp4","dataset/ai_baseline","fake","pika","baseline"
"27waGnDumbE_ATLANTIS ｜ AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/ai_baseline","fake","runway","baseline"
"3j5Mo15RmS0_Luma AI - Introducing Modify Video.mp4","dataset/ai_baseline","fake","luma","baseline"
"6ZxSGXqdcxw_Invideo AI – Text to Video Demo.mp4","dataset/ai_baseline","fake","invideo","baseline"
"76bo8tbXREk_Turn Scripts into Animated Explainer Videos with One Click!.mp4","dataset/ai_baseline","fake","other","baseline"
"aGS_l6n_cUM_The Wildest AI Film Trailer You'll See Today! (Veo 3.1⧸Sora-2 & More!).mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"AwKSrJFvdps_Introducing Gen-4.5 Image to Video ｜ Runway.mp4","dataset/ai_baseline","fake","runway","baseline"
"eCr0fskkBWs_WAR DRUM： A Powerful AI Short Film Using Runway Gen-3 Alpha.mp4","dataset/ai_baseline","fake","runway","baseline"
"ei2PsDpPbB4_Introducing Gen-4.5 ｜ Runway.mp4","dataset/ai_baseline","fake","runway","baseline"
"g2p-dLf3VSQ_Turn Text into Stunning Videos! ｜ LitVideo AI Text to Video Generator Demo.mp4","dataset/ai_baseline","fake","other","baseline"
"iVtqtu6HceI_Echoes of Grace · Kaku Drop with Sora.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"jhuQnVN3YW0_AI Cinematic Story： Created with Runway Gen-3 ｜ Midjourney ｜ Adobe.mp4","dataset/ai_baseline","fake","runway","baseline"
"JoAAuWNTB48_Luma Dream Machine - Image To Video Ai.mp4","dataset/ai_baseline","fake","luma","baseline"
"KUHx-2uz_qI_Introducing Runway Aleph ｜ A new way to edit, transform and generate video..mp4","dataset/ai_baseline","fake","runway","baseline"
"lEcg6AJ6DVY_This is Sora 2.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"LHHI-Q36wIM_Pika Labs 2.2 Review ｜ Free AI Video Generator With Sound & Lip Sync.mp4","dataset/ai_baseline","fake","pika","baseline"
"mlXiYvBE4kw_Higsfield AI Full Demo： Text to Video, Animated Characters, Lip Sync, Editing.mp4","dataset/ai_baseline","fake","other","baseline"
"oDOyIiYrBGM_What is a demo video？.mp4","dataset/ai_baseline","fake","other","baseline"
"onrLtMRzELA_Luma Dream Machine - Image to AI Video compilation.mp4","dataset/ai_baseline","fake","luma","baseline"
"OpWCyAXoPvs_Klappz AI Demo ： Text-to-video In 3 Clicks Without Skills.mp4","dataset/ai_baseline","fake","other","baseline"
"pNMMFov2f_c_Sora 2 vs Veo 3 Comparison： Which Wins？.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"RszdU7FnC1k_AI FILM - Nu Abyss - AI generated short video #14 ｜ Runway Gen-3, Udio.mp4","dataset/ai_baseline","fake","runway","baseline"
"t_SgA6ymPuc_POOF ｜ AI Short Film.mp4","dataset/ai_baseline","fake","other","baseline"
"TE4aUItCrjs_How to Convert Text to Video with AI in 1 Minute!.mp4","dataset/ai_baseline","fake","other","baseline"
"tRSdt5kmeW0_OpenAI Sora in Action： Tokyo Walk.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"xvs7p5KfPqM_OpenAI Sora AI Video – Walking in New York City ｜ AI-Generated Video Clips.mp4","dataset/ai_baseline","fake","openai_sora","baseline"
"y2dynet9Gvg_A.I. Powered Video Creation： Text to Video Workflow - Product Demo.mp4","dataset/ai_baseline","fake","other","baseline"
"yznPJdy6apc_UPLOAD ｜ AI Short Film ｜ Runway Gen：48 3rd Edition.mp4","dataset/ai_baseline","fake","runway","baseline"
"Zb3tffmBPRE_Introducing Luma Dream Machine - Next Generation AI Video.mp4","dataset/ai_baseline","fake","luma","baseline"
"ZDLQik-10us_Futuristic Cities VI Sci-fi AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/ai_baseline","fake","runway","baseline"
"1PaoWKvcJP0_Sound on for Sora 2.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"1ugUllz4wCs_PIKA AI Video Generator Unveils PikaSwap VFX Animation.mp4","dataset/adv_compressed","fake","pika","compressed"
"27waGnDumbE_ATLANTIS ｜ AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/adv_compressed","fake","runway","compressed"
"3j5Mo15RmS0_Luma AI - Introducing Modify Video.mp4","dataset/adv_compressed","fake","luma","compressed"
"6ZxSGXqdcxw_Invideo AI – Text to Video Demo.mp4","dataset/adv_compressed","fake","invideo","compressed"
"76bo8tbXREk_Turn Scripts into Animated Explainer Videos with One Click!.mp4","dataset/adv_compressed","fake","other","compressed"
"aGS_l6n_cUM_The Wildest AI Film Trailer You'll See Today! (Veo 3.1⧸Sora-2 & More!).mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"AwKSrJFvdps_Introducing Gen-4.5 Image to Video ｜ Runway.mp4","dataset/adv_compressed","fake","runway","compressed"
"eCr0fskkBWs_WAR DRUM： A Powerful AI Short Film Using Runway Gen-3 Alpha.mp4","dataset/adv_compressed","fake","runway","compressed"
"ei2PsDpPbB4_Introducing Gen-4.5 ｜ Runway.mp4","dataset/adv_compressed","fake","runway","compressed"
"g2p-dLf3VSQ_Turn Text into Stunning Videos! ｜ LitVideo AI Text to Video Generator Demo.mp4","dataset/adv_compressed","fake","other","compressed"
"iVtqtu6HceI_Echoes of Grace · Kaku Drop with Sora.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"jhuQnVN3YW0_AI Cinematic Story： Created with Runway Gen-3 ｜ Midjourney ｜ Adobe.mp4","dataset/adv_compressed","fake","runway","compressed"
"JoAAuWNTB48_Luma Dream Machine - Image To Video Ai.mp4","dataset/adv_compressed","fake","luma","compressed"
"KUHx-2uz_qI_Introducing Runway Aleph ｜ A new way to edit, transform and generate video..mp4","dataset/adv_compressed","fake","runway","compressed"
"lEcg6AJ6DVY_This is Sora 2.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"LHHI-Q36wIM_Pika Labs 2.2 Review ｜ Free AI Video Generator With Sound & Lip Sync.mp4","dataset/adv_compressed","fake","pika","compressed"
"mlXiYvBE4kw_Higsfield AI Full Demo： Text to Video, Animated Characters, Lip Sync, Editing.mp4","dataset/adv_compressed","fake","other","compressed"
"oDOyIiYrBGM_What is a demo video？.mp4","dataset/adv_compressed","fake","other","compressed"
"onrLtMRzELA_Luma Dream Machine - Image to AI Video compilation.mp4","dataset/adv_compressed","fake","luma","compressed"
"OpWCyAXoPvs_Klappz AI Demo ： Text-to-video In 3 Clicks Without Skills.mp4","dataset/adv_compressed","fake","other","compressed"
"pNMMFov2f_c_Sora 2 vs Veo 3 Comparison： Which Wins？.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"RszdU7FnC1k_AI FILM - Nu Abyss - AI generated short video #14 ｜ Runway Gen-3, Udio.mp4","dataset/adv_compressed","fake","runway","compressed"
"t_SgA6ymPuc_POOF ｜ AI Short Film.mp4","dataset/adv_compressed","fake","other","compressed"
"TE4aUItCrjs_How to Convert Text to Video with AI in 1 Minute!.mp4","dataset/adv_compressed","fake","other","compressed"
"tRSdt5kmeW0_OpenAI Sora in Action： Tokyo Walk.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"xvs7p5KfPqM_OpenAI Sora AI Video – Walking in New York City ｜ AI-Generated Video Clips.mp4","dataset/adv_compressed","fake","openai_sora","compressed"
"y2dynet9Gvg_A.I. Powered Video Creation： Text to Video Workflow - Product Demo.mp4","dataset/adv_compressed","fake","other","compressed"
"yznPJdy6apc_UPLOAD ｜ AI Short Film ｜ Runway Gen：48 3rd Edition.mp4","dataset/adv_compressed","fake","runway","compressed"
"Zb3tffmBPRE_Introducing Luma Dream Machine - Next Generation AI Video.mp4","dataset/adv_compressed","fake","luma","compressed"
"ZDLQik-10us_Futuristic Cities VI Sci-fi AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/adv_compressed","fake","runway","compressed"
"1PaoWKvcJP0_Sound on for Sora 2.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"1ugUllz4wCs_PIKA AI Video Generator Unveils PikaSwap VFX Animation.mp4","dataset/adv_cropped","fake","pika","cropped"
"27waGnDumbE_ATLANTIS ｜ AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/adv_cropped","fake","runway","cropped"
"3j5Mo15RmS0_Luma AI - Introducing Modify Video.mp4","dataset/adv_cropped","fake","luma","cropped"
"6ZxSGXqdcxw_Invideo AI – Text to Video Demo.mp4","dataset/adv_cropped","fake","invideo","cropped"
"76bo8tbXREk_Turn Scripts into Animated Explainer Videos with One Click!.mp4","dataset/adv_cropped","fake","other","cropped"
"aGS_l6n_cUM_The Wildest AI Film Trailer You'll See Today! (Veo 3.1⧸Sora-2 & More!).mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"AwKSrJFvdps_Introducing Gen-4.5 Image to Video ｜ Runway.mp4","dataset/adv_cropped","fake","runway","cropped"
"eCr0fskkBWs_WAR DRUM： A Powerful AI Short Film Using Runway Gen-3 Alpha.mp4","dataset/adv_cropped","fake","runway","cropped"
"ei2PsDpPbB4_Introducing Gen-4.5 ｜ Runway.mp4","dataset/adv_cropped","fake","runway","cropped"
"g2p-dLf3VSQ_Turn Text into Stunning Videos! ｜ LitVideo AI Text to Video Generator Demo.mp4","dataset/adv_cropped","fake","other","cropped"
"iVtqtu6HceI_Echoes of Grace · Kaku Drop with Sora.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"jhuQnVN3YW0_AI Cinematic Story： Created with Runway Gen-3 ｜ Midjourney ｜ Adobe.mp4","dataset/adv_cropped","fake","runway","cropped"
"JoAAuWNTB48_Luma Dream Machine - Image To Video Ai.mp4","dataset/adv_cropped","fake","luma","cropped"
"KUHx-2uz_qI_Introducing Runway Aleph ｜ A new way to edit, transform and generate video..mp4","dataset/adv_cropped","fake","runway","cropped"
"lEcg6AJ6DVY_This is Sora 2.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"LHHI-Q36wIM_Pika Labs 2.2 Review ｜ Free AI Video Generator With Sound & Lip Sync.mp4","dataset/adv_cropped","fake","pika","cropped"
"mlXiYvBE4kw_Higsfield AI Full Demo： Text to Video, Animated Characters, Lip Sync, Editing.mp4","dataset/adv_cropped","fake","other","cropped"
"oDOyIiYrBGM_What is a demo video？.mp4","dataset/adv_cropped","fake","other","cropped"
"onrLtMRzELA_Luma Dream Machine - Image to AI Video compilation.mp4","dataset/adv_cropped","fake","luma","cropped"
"OpWCyAXoPvs_Klappz AI Demo ： Text-to-video In 3 Clicks Without Skills.mp4","dataset/adv_cropped","fake","other","cropped"
"pNMMFov2f_c_Sora 2 vs Veo 3 Comparison： Which Wins？.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"RszdU7FnC1k_AI FILM - Nu Abyss - AI generated short video #14 ｜ Runway Gen-3, Udio.mp4","dataset/adv_cropped","fake","runway","cropped"
"t_SgA6ymPuc_POOF ｜ AI Short Film.mp4","dataset/adv_cropped","fake","other","cropped"
"TE4aUItCrjs_How to Convert Text to Video with AI in 1 Minute!.mp4","dataset/adv_cropped","fake","other","cropped"
"tRSdt5kmeW0_OpenAI Sora in Action： Tokyo Walk.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"xvs7p5KfPqM_OpenAI Sora AI Video – Walking in New York City ｜ AI-Generated Video Clips.mp4","dataset/adv_cropped","fake","openai_sora","cropped"
"y2dynet9Gvg_A.I. Powered Video Creation： Text to Video Workflow - Product Demo.mp4","dataset/adv_cropped","fake","other","cropped"
"yznPJdy6apc_UPLOAD ｜ AI Short Film ｜ Runway Gen：48 3rd Edition.mp4","dataset/adv_cropped","fake","runway","cropped"
"Zb3tffmBPRE_Introducing Luma Dream Machine - Next Generation AI Video.mp4","dataset/adv_cropped","fake","luma","cropped"
"ZDLQik-10us_Futuristic Cities VI Sci-fi AI Short Film ｜ RUNWAY GEN-3.mp4","dataset/adv_cropped","fake","runway","cropped"
